#trial,#facility,#customer,algorithm,value,time
NULL,2,2,Dualoc,1295.3397588873827,0.00015510900266235694
NULL,3,3,Dualoc,1222.0301542742666,0.0001601250005478505
NULL,4,4,Dualoc,1925.6957092041125,0.0002407220017630607
NULL,5,5,Dualoc,2038.111482198098,0.00042050600313814357
NULL,6,6,Dualoc,2226.8609490877616,0.0006625380010518711
NULL,7,7,Dualoc,2918.798215724109,0.001194418997329194
NULL,8,8,Dualoc,3588.9794574691277,0.0014966119997552596
NULL,9,9,Dualoc,2819.180662596373,0.0021236989996396005
NULL,10,10,Dualoc,2223.541340718893,0.00300307699944824
NULL,11,11,Dualoc,3165.3965919493153,0.004057671998452861
NULL,12,12,Dualoc,3952.3390019727276,0.0054433269979199395
NULL,13,13,Dualoc,3747.768510471128,0.007157326999731595
NULL,14,14,Dualoc,3750.783628683123,0.009147644999757176
NULL,15,15,Dualoc,3460.590758598287,0.011694865999743342
NULL,16,16,Dualoc,4315.559816620651,0.01472654600001988
NULL,17,17,Dualoc,4190.971501630564,0.01823061500181211
NULL,18,18,Dualoc,3520.7403288093233,0.022393322000425542
NULL,19,19,Dualoc,4843.206983165395,0.02740822000123444
NULL,2,2,LP_relaxation,1067.0473027839084,0.024190776002797065
NULL,3,3,LP_relaxation,1272.5433833243792,0.0039847779989941046
NULL,4,4,LP_relaxation,1583.0455506871344,0.00672576600118191
NULL,5,5,LP_relaxation,1797.3910993377253,0.0057753120017878246
NULL,6,6,LP_relaxation,2665.7499318012515,0.006104767999204341
NULL,7,7,LP_relaxation,2187.344100190203,0.006786043999454705
NULL,8,8,LP_relaxation,2549.839652207973,0.007507750000513624
NULL,9,9,LP_relaxation,2863.541571286324,0.008710648999112891
NULL,10,10,LP_relaxation,2671.0590548268974,0.009863628998573404
NULL,11,11,LP_relaxation,3176.742719426901,0.011019894998753443
NULL,12,12,LP_relaxation,2868.9674190878336,0.012208696000016062
NULL,13,13,LP_relaxation,3318.598770874176,0.013335620002180804
NULL,14,14,LP_relaxation,3926.3000837147474,0.014797869000176433
NULL,15,15,LP_relaxation,4609.5580156577735,0.01623520599969197
NULL,16,16,LP_relaxation,4186.549070649939,0.018232835001981584
NULL,17,17,LP_relaxation,3919.10175414609,0.02009103700038395
NULL,18,18,LP_relaxation,3793.8251367217913,0.021500442999240477
NULL,19,19,LP_relaxation,4610.868786445664,0.023580470002343645
NULL,2,2,LP_lagrangian,0,2.3760003386996686e-06
NULL,3,3,LP_lagrangian,0,8.479983080178499e-07
NULL,4,4,LP_lagrangian,0,7.510025170631707e-07
NULL,5,5,LP_lagrangian,0,5.830006557516754e-07
NULL,6,6,LP_lagrangian,0,5.469992174766958e-07
NULL,7,7,LP_lagrangian,0,5.370020517148077e-07
NULL,8,8,LP_lagrangian,0,5.250003596302122e-07
NULL,9,9,LP_lagrangian,0,5.520014383364469e-07
NULL,10,10,LP_lagrangian,0,5.299989425111562e-07
NULL,11,11,LP_lagrangian,0,5.300025804899633e-07
NULL,12,12,LP_lagrangian,0,5.950023478362709e-07
NULL,13,13,LP_lagrangian,0,5.459987733047456e-07
NULL,14,14,LP_lagrangian,0,5.280016921460629e-07
NULL,15,15,LP_lagrangian,0,5.599977157544345e-07
NULL,16,16,LP_lagrangian,0,5.630026862490922e-07
NULL,17,17,LP_lagrangian,0,5.469992174766958e-07
NULL,18,18,LP_lagrangian,0,5.440015229396522e-07
NULL,19,19,LP_lagrangian,0,5.530018825083971e-07
