#trial,#facility,#customer,algorithm,error,time
1,3,2,Dualoc,0.0,0.08899899876269046
1,3,2,LP_relaxation,0.0,4.250893000062206
1,3,2,LP_lagrangian,1.031613238356172,5.12448100016627
11,3,2,Dualoc,2.9328451536227758,0.09402181769308464
11,3,2,LP_relaxation,1.0194420923159098,3.91283390920514
11,3,2,LP_lagrangian,0.7483855581578807,5.162601454272094
21,3,2,Dualoc,1.5874822576251293,0.09403971420224047
21,3,2,LP_relaxation,0.694140171865368,3.9667229047197563
21,3,2,LP_lagrangian,2.721657345808346,4.956666333306376
31,3,2,Dualoc,3.1639894387408476,0.089689064489287
31,3,2,LP_relaxation,0.38020664805408133,3.8973796129158154
31,3,2,LP_lagrangian,3.8103045041111274,4.8863545160260875
41,3,2,Dualoc,1.62271609345363,0.09051495123081045
41,3,2,LP_relaxation,0.24287003817797717,3.981896536460248
41,3,2,LP_lagrangian,1.4575043619294705,4.938689146134804
51,3,2,Dualoc,2.3624750476016914,0.09162733337742633
51,3,2,LP_relaxation,1.41143211188806,3.863401823514769
51,3,2,LP_lagrangian,1.758677401721947,5.114118255055384
